horse_name,section,show_class,show,rider,place,entries,points
Horse: Rvf Petersburg        #17158   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #1,Susan Mc Morris,7,13,2
Horse: Rvf Titus        #17166   ,"Green Hunter 3'6""","$200 Green Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #2,Bill D. Mc Morris,6,9,3
Horse: Ryan        #15583   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #2,Nicole Mejaly,3,23,6
Horse: Rye Val De Mai        #16866   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #5,Kady Abrahamson,10,32,0
Horse: Rye Val De Mai        #22625   ,Adult Jumper,$200 Adult Amateur Jumper 1.10m 2.2b,World Equestrian Center Winter Classic #19,Afton Chmela,3,9,6
Horse: Rythmico        #12493   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #11,Jennifer l. Nadalin,3,24,6
Horse: S & L Lion King        #18018   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #11,Dorothy Douglas,4,25,5
Horse: S & L Puppy Love        #12550   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #3,Kimberly West,3,12,6
Horse: S Jasmine Power        #17591   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Savannah N. Unger,3,7,6
Horse: S'envoler        #18096   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #3,Kaitlyn Christopherson,2,9,7
Horse: S'more Fun        #17853   ,Large Pony Hunter,"$300 Large Pony Hunter 2'9""",World Equestrian Ocala Winter Spectacular #2,Hayden Center,2,4,7
Horse: S.O. Ritz        #21144   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #10,Meredith Barber,7,11,2
Horse: SÂ?Jasmine Power        #21539   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #10,Savannah N. Unger,3,17,6
Horse: Sabrina        #18523   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #3,Christina Kelly,5,28,4
Horse: Sabrina Ctf        #22569   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Center Winter Classic #19,Ellie Welte,8,11,1
Horse: Safi VH Gavershof Z        #20494   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Camille Maddrix,7,46,2
Horse: Safran        #12755   ,Low Adult Jumper,Low Adult Jumper 1.00m,World Equestrian Center Summer III,Sandra Jones,2,15,7
Horse: Saint Sterling        #18500   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" (California Split)",World Equestrian Ocala Winter Spectacular #3,Elizabeth D. Blaisdell,5,44,4
Horse: Saint Tropez        #14584   ,Green Hunter 3',"$200 Green Hunter 3'0""",World Equestrian Center Winter Classic #19,Hillary Johnson,4,10,5
Horse: Salem        #11471   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #2,Mackenzie Harper,3,16,6
Horse: SalemÂ?s life of Riley        #22572   ,Short Stirrup Hunter,Opportunity Short Stirrup Hunter 2' (11 & under),World Equestrian Center Winter Classic #19,Stella Rembielak,4,10,5
Horse: Salmon Run        #14294   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (1st Rnd Cla,World Equestrian Ocala Winter Spectacular #4,Kaitlyn Deninno,3,18,6
Horse: Salvados        #13195   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter (1st rnd classic),World Equestrian Ocala Winter Spectacular #7,Mallory Adamson,4,45,5
Horse: Salvatore        #19677   ,"Small Junior Hunter 3'6""","$400 Junior Hunter 3'6"" 16-17",World Equestrian Ocala Winter Spectacular #6,Baylee Mckeever,2,21,7
Horse: salvo        #22340   ,Low Jr/AO Jumper,$400 Low Jr/Am. Owner Jumper 1.20m/1.25m 2.2b,World Equestrian Center Winter Classic #17,Delaney Hoffman,3,14,6
Horse: Samaani        #19544   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #7,Carly Campbell-Cooper,1,32,10
Horse: Samba Do Brasil        #17435   ,Adult Jumper,$2500 Adult Amateur Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #1,Maliclaire Glancy,4,17,5
Horse: Sambalina        #13089   ,Intermediate Children's Hunter,$50 Intermediate Children's Hunter U/S,World Equestrian Ocala Winter Spectacular #8,Sally Sullivan,2,17,7
Horse: Sambha        #17843   ,"Junior Hunter 3'3"" 15 & under","$300 Junior Hunter 3'3"" 15&U",World Equestrian Ocala Winter Spectacular #2,Arrell Young,3,11,6
Horse: Sambuca        #20063   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #7,Lesley Cox Hunziker,7,47,2
Horse: Sampson        #19175   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #5,Amy Nolan,8,14,1
Horse: Samson Road        #17594   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #5,Aidan Murphy,6,12,3
Horse: Samurai 501        #21012   ,1.40m Jumper,$10000 1.40 Meter Jumper Classic 340.c,World Equestrian Ocala Winter Spectacular #8,Rodrigo Pessoa,2,13,7
Horse: Samy Du Reverdy        #14974   ,Open Jumper by Points,"$75,000 Grand Prix 340.b",World Equestrian Ocala Winter Spectacular #5,Kama Godek,10,33,0
Horse: San Andres Convo-yeur        #19898   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #8,Janet Liu,5,24,4
Horse: San Andres Griego        #16513   ,Children's Jumper,$2500 Childrens Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #8,Logan Wallace,11,16,0
Horse: San Marco        #14530   ,"Performance Hunter 3'6""","$150 Performance Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #3,Jeff J. Gogul,1,5,8
Horse: San Miguel        #17436   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #1,Ana Pipovski,2,17,7
Horse: San Paolo        #11832   ,"Amateur Owner Hunter 3'6"" 18-35","$150 Amateur Owner Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #8,Claire Walls,6,10,3
Horse: Sancerre        #12099   ,"Amateur Owner Hunter 3'3"" 36 and over","$100 A/O Hunter 3'3"" 36+ U/S",World Equestrian Ocala Winter Spectacular #3,Lisa Rossi,1,9,10
Horse: Sand Dollar        #16118   ,Intermediate Children's Hunter,Intermediate Children's Hunter U/S,World Equestrian Center Winter Classic #19,Leila Firdaus,2,18,7
Horse: Sandriano        #13215   ,"Small Junior Hunter 3'6""","$200 Junior Hunter 3'6"" U/S",World Equestrian Center Winter Classic #17,Jenna E. Drago,1,4,8
Horse: Sandrimo        #17687   ,Adult Hunter 18-35,$100 Adult Amateur Hunter 18-35 U/S,World Equestrian Ocala Winter Spectacular #5,Allyson Baros-Kabler,8,15,1
Horse: Sandro        #16427   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 3' (1st Rnd Classic),World Equestrian Center Winter Classic #17,Aerial Hacker,5,13,4
Horse: Sandro        #21334   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #10,James Hassinger,6,6,3
Horse: Sandro Star        #14437   ,Novice Children's/Adult Jumper,$500 Novice Children's Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #8,Kristen Dillon,6,26,3
Horse: Sandros Summit        #11480   ,Intermediate Children's Hunter,Intermediate Children's Hunter U/S,World Equestrian Center Winter Classic #19,,8,18,1
Horse: Santana        #13443   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #1,Belynda S. Bond,2,29,7
Horse: Santiago        #11482   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #17,Ava Acosta,6,21,3
Horse: Santiago        #14860   ,Green Hunter 3',"$150 Green Hunter 3'0"" U/S",World Equestrian Ocala Winter Spectacular #6,Ashley March,8,30,1
Horse: Santiano        #21092   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (first round,World Equestrian Ocala Winter Spectacular #9,Allison Beck,4,15,5
Horse: Santino        #20878   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #8,Kayla Piper,2,23,7
Horse: Sassaparilla Kid        #14418   ,1.20m Jumper,$500 1.20 Meter Jumper 2.2b,World Equestrian Center Winter Classic #19,Katie Eckert,2,5,7
Horse: Satins Angel        #12847   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #11,Alexa Lee,6,11,3
Horse: Saturday        #19522   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #9,Catherine Mageau,1,12,10
Horse: Save The Profit        #20301   ,Thoroughbred Jumper,Thoroughbred Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #7,Emilie Rollet,4,5,5
Horse: Sawyer        #17179   ,"Amateur Owner Hunter 3'3"" 36 and over","$300 Amateur Owner Hunter 3'3""",World Equestrian Ocala Winter Spectacular #1,Elizabeth L. Devor,8,11,1
Horse: Say So        #19750   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" (California Split)",World Equestrian Ocala Winter Spectacular #6,Donald M. Sheehan,7,41,2
Horse: Say What        #19213   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" (California Split at 40)",World Equestrian Ocala Winter Spectacular #5,Alexa Riccio,8,50,1
Horse: Saylors Anchor Blue        #18574   ,.65m Jumper Children's/Adult,$100 .65m Jumper Child/Adult 340.c,World Equestrian Ocala Winter Spectacular #3,Maren Whittaker,7,22,2
Horse: Says Who        #17903   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #2,Melanie S. Wright,3,9,6
Horse: Scarlett        #15477   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #5,Sarah Hamm,9,16,0
Horse: Scarlett O'Hara        #21472   ,Novice Children's/Adult Jumper,$500 Novice Children's Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #10,Lauren Boone,8,12,1
Horse: Scho Thyme        #21380   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #10,Katelyn Misiaveg,5,15,4
Horse: Scholar        #20582   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3' (California Split),World Equestrian Ocala Winter Spectacular #8,Susan E. Fried,4,42,5
Horse: scirocco        #19962   ,"Performance Hunter 3'3""","$350 Performance Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #8,Kathleen Caya,8,32,1
Horse: Scirocco        #13999   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #19,Kathleen Caya,1,10,10
Horse: Score        #19199   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2' U/S,World Equestrian Ocala Winter Spectacular #5,Delana Mcfarlin,5,27,4
Horse: scouts honor        #19945   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #7,Kathleen Caya,10,19,0
Horse: Scs Kenzo T        #19031   ,Young Jumper 6 Year Old,$250 6 Year Old Young Jumpers 340.c,World Equestrian Ocala Winter Spectacular #4,Haley C. Robinson,2,6,7
Horse: Scs Kenzo T        #18701   ,Young Jumper 6 Year Old,$250 6 Year Old Young Jumpers 340.c,World Equestrian Ocala Winter Spectacular #3,Haley C. Robinson,4,6,5
Horse: Scs Kenzo T        #21308   ,Young Jumper 6 Year Old,$250 6 Year Old Young Jumpers 340.c,World Equestrian Ocala Winter Spectacular #9,Haley C. Robinson,5,7,4
Horse: Scuba        #12841   ,Novice Children's/Adult Jumper,$500 Novice Children's/Adult Jumper Classic .95m,World Equestrian Center Winter Classic #17,Teigan Franjesh,6,13,3
Horse: Sea Fever        #17976   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #5,Elizabeth Kneibert,1,31,10
Horse: seattle        #22036   ,1.30m Jumper,$1000 1.30 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #12,Willie Tynan,5,9,4
Horse: Second Chance        #15756   ,Limit/Long Stirrup Hunter,Opportunity Limit Hunter 2',World Equestrian Center Winter Classic #17,Abbie Smith,4,12,5
Horse: Secret Alloy        #18933   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #8,Kelse Bonham-Huitt,7,29,2
Horse: Secret Angelus        #17232   ,Baby Green Hunter,"Baby Green Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #6,Melissa P. Donnelly,3,25,6
Horse: Secret Crush        #19915   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #6,Riley Hilliard,4,13,5
Horse: Secret Identity        #15436   ,Novice Children's/Adult Jumper,Novice Children's/Adult Jumper .90-.95m,World Equestrian Center Winter Classic #4,Anna Pallante,4,19,5
Horse: Secretive        #14650   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #11,Douglas E. Boyd,6,20,3
Horse: Sedona        #19876   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #6,Catherine Mageau,6,23,3
Horse: Sedona        #22155   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #12,Catherine Mageau,3,10,6
Horse: Sedona        #20472   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #7,Catherine Mageau,11,17,0
Horse: Sedona        #20988   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #8,Catherine Mageau,7,16,2
Horse: See Me Shine        #19198   ,Short Stirrup Hunter,Short Stirrup Hunter (1st round classic),World Equestrian Ocala Winter Spectacular #5,Kinsley Nolte,2,12,7
Horse: Selfless        #17288   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17",World Equestrian Ocala Winter Spectacular #2,Isabella Gaydeski,2,4,7
Horse: Send My Love        #18472   ,Children's Pony Hunter Sm/Med,$50 Children's Pony Hunter Sm/Med U/S,World Equestrian Ocala Winter Spectacular #3,Charlene Kellner,3,10,6
Horse: Sensational        #17959   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #11,Katherine Addison,6,9,3
Horse: Sequential        #11495   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #1,Addison Mae King,1,12,10
Horse: Serengeti        #22500   ,Green Hunter 3',"$200 Green Hunter 3'0""",World Equestrian Center Winter Classic #19,Tamara Provost,7,10,2
Horse: Set In Stone        #18733   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #3,Aubrey Gill,3,13,6
Horse: Set In Stone        #22214   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #12,Aubrey Gill,6,19,3
Horse: Seventh Heaven        #14060   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" U/S (California Split)",World Equestrian Center Winter Classic #19,Brenda L. Christenson,2,17,7
Horse: SH Hat Trick        #20581   ,Thoroughbred Hunter,Thoroughbred Hunter,World Equestrian Ocala Winter Spectacular #8,Gina Ellis,3,4,6
Horse: Shae's all that        #18562   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #3,Annie Miller,2,17,7
Horse: Shaken Not Stirred        #17336   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Morgan Potter,3,12,6
Horse: Shakiro        #20413   ,"WEC Hunter 3'3""","WEC Hunter 3'3""",World Equestrian Ocala Winter Spectacular #7,Kenner Scalamandre,5,14,4
Horse: Shakti        #18711   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #3,Emily Macauley,6,12,3
Horse: Shannaghmore        #22415   ,Intermediate Adult Hunter,"Intermediate Adult Hunter (1st Rnd Classic) 2'6""",World Equestrian Center Winter Classic #18,Elizabeth Blake,8,31,1
Horse: Sheldon Cooper        #11505   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35 (1st round Class,World Equestrian Ocala Winter Spectacular #8,Kelsey Concklin,4,23,5
Horse: Shenandoah Carnation        #17910   ,Future Hunter,Future Hunter U/S,World Equestrian Ocala Winter Spectacular #2,Belle Payne,5,8,4
Horse: Shenandoah's Papageno        #18813   ,Small Green Pony Hunter,Small Green Pony Hunter Model,World Equestrian Ocala Winter Spectacular #4,Elizabeth Balogh,6,6,3
Horse: Shes Got The Jazz        #22574   ,Short Stirrup Hunter,Opportunity Short Stirrup Hunter 2' (11 & under),World Equestrian Center Winter Classic #19,Ella Long,8,11,1
Horse: Shine On        #22404   ,Non Thoroughbred Hunter,Non Thoroughbred Hunter 3',World Equestrian Center Winter Classic #18,Jamie Schaller,5,5,4
Horse: Shine On        #22262   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 3',World Equestrian Center Winter Classic #17,Jamie Schaller,7,12,2
Horse: Shine on Me        #15684   ,Medium Pony Hunter,$100 Medium Pony Hunter U/S,World Equestrian Ocala Winter Spectacular #7,Kaitlyn Swinnerton,2,7,7
Horse: Shining de Reve        #18139   ,1.20m Jumper,$500 1.20 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #5,Vick Russell,12,63,0
Horse: Shiraz Creative Solero De Grasset        #18292   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #2,Hannah Mezmar,8,20,1
Horse: Short Story        #14806   ,"Green Hunter 3'3""","$200 Green Hunter 3'3""",World Equestrian Center Winter Classic #1,Danielle Ford,5,8,4
Horse: Show Me        #14164   ,"Junior Hunter 3'3"" 15 & under","$300 Junior Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #1,Madeline Brooks,1,10,10
Horse: Show Me The World        #22280   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #17,Mary Zaleski,1,21,10
Horse: Show N' Tell        #21709   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #11,Madeline Burst,6,15,3
Horse: Showstar        #21123   ,Intermediate Adult Hunter,$50 Intermediate Adult Hunter U/S,World Equestrian Ocala Winter Spectacular #9,Madison Berger,7,17,2
Horse: Showtime's Houdini        #21609   ,Children's Pony Hunter Large,"$100 Children's Pony Hunter Large 2'6""",World Equestrian Ocala Winter Spectacular #11,Mari Lutz,2,5,7
Horse: Showtime's Mama Mia        #19196   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #5,Lauren Carpenter,4,21,5
Horse: Sibon Clover        #18172   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Gerard Leonard,6,56,3
Horse: Sicaria        #21118   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #9,Hannah Herbst,4,18,5
Horse: Sigmund Freud        #21670   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #12,Bhuvana Barish,6,41,3
Horse: Silhouette        #21505   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #10,Libby S. Giordano,7,15,2
Horse: Silhouette        #17925   ,Short Stirrup Hunter,Short Stirrup Hunter (1st round Classic),World Equestrian Ocala Winter Spectacular #2,Shelby Potter,8,18,1
Horse: Silhouette        #21693   ,Novice Children's/Adult Jumper,$500 Novice Children's Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #11,Emma Rieber,2,14,7
Horse: Silhouettes On The Shade        #18322   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #2,M Peabody Kohler,2,24,7
Horse: Silly Putty        #20869   ,Medium Pony Hunter,Small/Medium Pony Hunter Model,World Equestrian Ocala Winter Spectacular #8,Danica Quadracci,8,8,0.5
Horse: Silly Putty        #20393   ,Medium Pony Hunter,Medium Pony Hunter Model,World Equestrian Ocala Winter Spectacular #7,Danica Quadracci,7,7,1
Horse: Silver Creek's Charmed        #20992   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 340.c,World Equestrian Ocala Winter Spectacular #8,Allison Vinatieri,3,18,6
Horse: Silver Creek's Charmed        #22450   ,1.20m Jumper,$500 1.20 Meter Jumper 2.1,World Equestrian Center Winter Classic #18,Richard Rinehart,6,8,3
Horse: Silver Creek's Charmed        #20495   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Richard Rinehart,2,26,7
Horse: Silver Lining        #18448   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #3,Peter Petschenig,6,24,3
Horse: Silver N Gold        #22090   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #12,Eliza Larson,8,15,1
Horse: Silver Star        #17173   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #8,Charlotte Mack,3,13,6
Horse: Silverstone        #13246   ,Children's Hunter 15-17,$200 Children's Hunter 15-17 3',World Equestrian Center Winter Classic #19,Jadyn Horst,6,15,3
Horse: Silverwood Full Sail        #17872   ,Children's Pony Hunter Large,"$100 Children's Pony Hunter Large 2'6""",World Equestrian Ocala Winter Spectacular #2,Taylor Matalon,1,6,8
Horse: Silvian        #21099   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #9,Anita M. Coons,6,14,3
Horse: Simba de Semilly        #17581   ,Young Jumper 6 Year Old,$250 6 Year Old Jumpers 340.c,World Equestrian Ocala Winter Spectacular #2,Nicolas Bayzelon,2,7,7
Horse: Simply Amazing        #14148   ,Intermediate Adult Hunter,Intermediate Adult Hunter U/S,World Equestrian Center Winter Classic #19,Julianne Anderson,1,19,10
Horse: Simply Blue        #20570   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #8,Avery Franke,3,19,6
Horse: Simply Fancy        #17251   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #1,Megan E. Sullivan,6,19,3
Horse: Simply Jimmy        #16799   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Center Winter Classic #19,Tamara Provost,1,18,10
Horse: Simply Priceless        #20418   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #7,Claire Mccready,7,24,2
Horse: Simply Priceless        #19457   ,Short Stirrup Hunter,Short Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #5,Ellie Branco,4,10,5
Horse: Simply Priceless        #20886   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #8,Jennifer Cumming,6,31,3
Horse: Simply Priceless        #20883   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #8,Claire Mccready,4,14,5
Horse: Simply Put        #18364   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" (California Split)",World Equestrian Ocala Winter Spectacular #3,Jeff J. Gogul,1,39,10
Horse: Simply Red        #22585   ,"USHJA/NSBA 2'9""","USHJA Hunter 2'9""",World Equestrian Center Winter Classic #19,Rebecca Slater,8,11,1
Horse: Simply Said        #22600   ,Low Children's Jumper,Low Children's Jumper 1.00m 2.2d,World Equestrian Center Winter Classic #19,Rachel Darlinger,8,11,1
Horse: Singularity        #18618   ,1.20m Jumper,$500 1.20 Meter Jumper - No Nomination Fee 340.c,World Equestrian Ocala Winter Spectacular #6,Edward Doyle,10,48,0
Horse: Sir Draco        #21067   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 36-49,World Equestrian Ocala Winter Spectacular #9,Elizabeth A. Horvath Palmer,5,5,4
Horse: Sir Higgins        #18840   ,"WEC Hunter 3'3""","WEC Hunter 3'3""",World Equestrian Ocala Winter Spectacular #4,Christine Wiggins,5,10,4
Horse: Sir Jacopo        #17264   ,Intermediate Adult Hunter,$50 Intermediate Adult Hunter U/S,World Equestrian Ocala Winter Spectacular #11,Taylor A. Adams,1,25,10
Horse: Sir Lancelot        #20573   ,Children's Hunter 15-17,$200 Children's Hunter 15-17 (1st round Classic),World Equestrian Ocala Winter Spectacular #8,Amelia Ringgold,5,19,4
Horse: Sir Paul        #18296   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #2,Erica Lacher,3,16,6
Horse: Sir Sandro        #19548   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #6,CATALINA PERALTA,7,23,2
Horse: Sir Winston        #20377   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #7,Melissa Ryan,7,9,2
Horse: Sir Winston        #19657   ,"Performance Hunter 3'6""","$400 Performance Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #6,Melissa Ryan,10,13,0
Horse: Sirreal        #21100   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #9,megan winborne,6,14,3
Horse: Sister Parrish        #17289   ,"WEC Hunter 3'3""","WEC Hunter 3'3""",World Equestrian Ocala Winter Spectacular #2,Jane Tuckerman,8,10,1
Horse: Sixx.a.m        #17227   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #1,Robert Pascente,6,6,3
Horse: Si’Vous Plait        #14759   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #18,Rylee Eilerman,2,24,7
Horse: Skara Glen's Para Bellum        #20508   ,Open Jumper by Points,"$75,000 Grand Prix 340.b",World Equestrian Ocala Winter Spectacular #7,Darragh Kerins,10,42,0
Horse: Skat de Scellon        #15250   ,Adult Jumper,$200 Adult Amateur Jumper 1.10m 2.2b,World Equestrian Center Winter Classic #17,Helen Julianov,5,12,4
Horse: Skips Shady Lady        #21419   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #10,Sophie Dendtler,4,11,5
Horse: Skorekeeper        #18866   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #12,Haleigh Landrigan,2,21,7
Horse: Skyfall        #20272   ,Medium Jr/AO Jumper,$1000 Med Jr/Am/Am Own 1.30m 339.a,World Equestrian Ocala Winter Spectacular #7,CAROLINE DUGAS,3,29,6
Horse: Skys Burnin Blue        #11524   ,Adult Jumper,$1500 NAL/WIHS Adult Jumper Classic 1.15m 2.2b,World Equestrian Center Winter Classic #19,Phoenix Cooke,1,10,10
